Incident ID,Date,Governorate,District,Area,Target,Main category,Sub-category,Min Air Raids,Max Air Raids,Civilian Casualties,Fatalities ,Woman fatalities,Child fatalities,Injured ,Woman injured,Child injured, Confirmed Time,Time of Day,,,,
125,29/03/2015,Saada,Saqain,"Qarhid, Khamees Al-Mihwar",Residential Area,Civilian,Residential Area,1,2,0,0,0,0,0,0,0,unkn,Midday,,,,
126,29/03/2015,Saada,Sa'ada,The City,Sa'ada Airport,Infrastructure,Transport,1,2,0,0,0,0,0,0,0,18,Evening,,,,
127,29/03/2015,Saada,Sa'ada,The City,Cultural Centre,Infrastructure,Gov. Compounds,1,3,0,0,0,0,0,0,0,unkn,Unknown,,,,
128,29/03/2015,Saada,Sa'ada,The City,Al-Ibbi House,Civilian,Residential Area,1,2,0,0,0,0,0,0,0,unkn,Unknown,,,,
129,29/03/2015,Saada,Haydan,-,Unknown,Unknown,Unknown,1,2,0,0,0,0,0,0,0,18,Evening,,,,
130,29/03/2015,Shabwa,Bayhan,Aqabat Al-Qandha'a,Pro-Houthi forces,Military_Security_Target,Forces,1,2,0,0,0,0,0,0,0,unkn,Midday,,,,
131,29/03/2015,Taiz,Sabir Al-Mawadim,Al-Aroos Mountain,Al-Arous Military Camp,Military_Security_Target,Military Site,1,1,0,0,0,0,0,0,0,unkn,Midday,,,,
132,29/03/2015,Taiz,Al-Mukha,Al-Mukha Port,Air Defence Military Sites,Military_Security_Target,Military Site,1,1,0,0,0,0,0,0,0,20,Evening,,,,
133,30/03/2015,Capital,Bani Al-Harith,Al-Rahabah,Al-Daylami Airbase,Military_Security_Target,Military Site,1,2,0,0,0,0,0,0,0,unkn,Early-Morning,,,,
134,30/03/2015,Capital,Al-Sab'ein,Al-Nahdain,Presidential Palace,Military_Security_Target,Military Site,1,2,0,0,0,0,0,0,0,10,Midday,,,,
135,30/03/2015,Capital,Al-Wahdah,60m Road,Military supplies camp,Military_Security_Target,Military Site,1,2,0,0,0,0,0,0,0,16,Afternoon,,,,
136,30/03/2015,Capital,Al-Wahdah,60m Road,YEC Storage units,Economic_infrastructure,Food (Storage/transportation),1,2,0,0,0,0,0,0,0,16,Afternoon,,,,
137,30/03/2015,Sanaa,Bani Matar,Al-Sobahah,Special Forces Military Camp,Military_Security_Target,Military Site,1,1,0,0,0,0,0,0,0,unkn,Morning,,,,
138,30/03/2015,Sanaa,Bani Hushaysh,Al-Jamimah,Al-Jamimah Military Camp,Military_Security_Target,Military Site,1,1,0,0,0,0,0,0,0,10,Midday,,,,
139,30/03/2015,Sanaa,Bani Matar,Faj Attan,Missiles Brigade Camp,Military_Security_Target,Military Site,1,2,0,0,0,0,0,0,0,16,Afternoon,,,,
140,30/03/2015,Sanaa,Bani Matar,Ayban Mountain,Air Defence Batteries,Military_Security_Target,Military Site,1,2,0,0,0,0,0,0,0,16,Afternoon,,,,
141,30/03/2015,Sanaa,Bani Hushaysh,Al-Khorafi,Al-Khorafi Military Camp,Military_Security_Target,Military Site,1,2,0,0,0,0,0,0,0,16,Afternoon,,,,
142,30/03/2015,Sanaa,Bani Matar,Faj Attan,Missiles Brigade Camp,Military_Security_Target,Military Site,1,2,0,0,0,0,0,0,0,20,Evening,,,,
143,30/03/2015,Abyan,Khanfir,Shaqrah,Pro-Houthi reinforcement,Military_Security_Target,Moving Target (weapons/fighters),1,2,0,0,0,0,0,0,0,15,Afternoon,,,,
144,30/03/2015,Abyan,Zinjibar,-,15th Infantry Brigade,Military_Security_Target,Military Site,1,2,0,0,0,0,0,0,0,21,Evening,,,,
145,30/03/2015,Abyan,Khanfir,Al-Kod,Civilians Gathering,Civilian,Social gathering,1,2,0,0,0,0,0,0,0,unkn,Evening,,,,
146,30/03/2015,Aden,Khor Maksar,Al-Alam Checkpoint,Pro-Houthi reinforcement,Military_Security_Target,Moving Target (weapons/fighters),1,1,5,2,0,0,3,0,0,14,Midday,,,,
147,30/03/2015,Aden,Khor Maksar,Al-Areesh,Bus (with civilians onboard),Civilian,Vehicle/Bus,1,1,6,6,1,0,0,0,0,unkn,Afternoon,,,,
148,30/03/2015,Aden,Khor Maksar,-,Aden Airport,Infrastructure,Transport,1,1,0,0,0,0,0,0,0,20,Evening,,,,
149,30/03/2015,Aden,Khor Maksar,Near President Hadi House,Residential Area,Civilian,Residential Area,1,2,13,13,1,0,0,0,0,unkn,Evening,,,,
150,30/03/2015,Aden,Khor Maksar,-,39th Armoured Brigade,Military_Security_Target,Military Site,1,1,0,0,0,0,0,0,0,unkn,Evening,,,,
151,30/03/2015,Aden,Al-Mualla,-,Aden Port,Infrastructure,Transport,1,2,0,0,0,0,0,0,0,unkn,Evening,,,,
152,30/03/2015,Hajja,Harad,Al-Mazraq,IDPs Camp,Civilian,Residential Area,1,4,70,29,0,0,41,11,14,1,Midday,,,,
153,30/03/2015,Ibb,Yarim,Bab Al-Dhawrain,4 Houses,Civilian,Residential Area,1,2,0,0,0,0,0,0,0,unkn,Evening,,,,
154,30/03/2015,Ibb,Yarim,Bab Al-Dhawrain,2 Gas stations,Economic_infrastructure,Oil & Gas,1,2,0,0,0,0,0,0,0,unkn,Evening,,,,
155,30/03/2015,Lahj,Tuban,Al-Husayni,Pro-Houthi forces,Military_Security_Target,Forces,1,3,0,0,0,0,0,0,0,21,Evening,,,,
156,30/03/2015,Lahj,Al-Musyamir,-,Al-Wataniyah Cement Factory,Infrastructure,Factory,1,2,10,5,0,0,5,0,0,23,Night,,,,
157,30/03/2015,Shabwa,Bayhan,Outskirts of the city,Anti-Houthi Groups,Military_Security_Target,Forces,1,1,0,0,0,0,0,0,0,unkn,Afternoon,,,,
158,30/03/2015,Saada,Shada'a,Al-Mashnaq,Residential Area,Civilian,Residential Area,1,2,8,8,0,0,0,0,0,unkn,Early-Morning,,,,
159,30/03/2015,Saada,Sa'ada,The City,Local Airport,Infrastructure,Transport,1,2,0,0,0,0,0,0,0,unkn,Afternoon,,,,
160,30/03/2015,Saada,Sa'ada,Qahzah,Electricity Station,Economic_infrastructure,Water & Electricity,1,1,0,0,0,0,0,0,0,unkn,Afternoon,,,,
161,30/03/2015,Saada,Kitaf Wa Al-Boqe'e,Marar,Unknown,Unknown,Unknown,1,1,0,0,0,0,0,0,0,unkn,Afternoon,,,,
